faithfulness,retrieval_score,answer_relevancy,context_precision
1.0,0.855,0.846,0.71
1.0,0.817,0.78,0.633
0.5,1.0,0.812,1.0
1.0,1.0,0.827,1.0
1.0,1.0,0.721,1.0
0.933,1.0,0.803,1.0
1.0,1.0,0.799,1.0
1.0,0.903,0.858,0.806
1.0,1.0,0.804,1.0
1.0,1.0,0.749,1.0
1.0,0.861,0.805,0.722
1.0,1.0,0.73,1.0
0.778,0.913,0.831,0.825
1.0,0.874,0.737,0.747
1.0,0.875,0.832,0.75
1.0,1.0,0.788,1.0
1.0,0.902,0.796,0.804
0.917,0.958,0.829,0.917
1.0,0.903,0.826,0.806
0.857,0.667,0.832,0.333
0.8,0.725,0.876,0.7
1.0,0.887,0.748,0.775
0.952,1.0,0.839,1.0
1.0,1.0,0.874,1.0
1.0,0.917,0.778,0.833
1.0,1.0,0.766,1.0
1.0,1.0,0.669,1.0
1.0,1.0,1.0,1.0
1.0,0.75,0.849,1.0
1.0,0.958,0.72,0.917
1.0,0.675,0.884,0.35
1.0,1.0,0.886,1.0
1.0,0.875,0.669,1.0
0.0,0.375,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.475,0.0,0.20
1.0,1.0,0.751,1.0
1.0,0.979,0.821,0.958
1.0,0.896,0.793,0.793
1.0,0.958,0.897,0.917
1.0,0.878,0.795,0.756
1.0,0.792,0.92,0.583
0.4,0.708,0.815,0.417
0.727,0.953,0.798,0.906
1.0,1.0,0.826,1.0
0.5,0.25,0.0,0.0
1.0,0.958,0.869,0.917
0.917,0.903,0.85,0.806
1.0,0.604,0.868,0.208
1.0,1.0,0.807,1.0
1.0,1.0,0.852,1.0
0.0,0.5,0.0,0.0
1.0,1.0,0.818,1.0
0.636,1.0,0.737,1.0
